 danh muc  , hang san xuat  , khoang gia ,  loai case ,  chat lieu ,  kich thuoc mainboard ,  so luong o 5.25 ,  so luong o 3.5 toi da ,  so luong o 2.5 toi da ,  cua so hong ,  mau case ,  so luong quat di kem 
- No Information,aerocool,duoi-1trieu,open-air,nhua,mini-itx,- No Information,1-5-1,1-5-1-1,kinh,den,- No Information
- No Information,antec,1trieu-2trieu,atx-super-tower,nhom,- No Information,1-5,6-10,6-10-1-1,mica,do,1
- No Information,antech,2trieu-3trieu,atx-full-tower,thep,- No Information,- No Information,11-15,11-15-1-1,khong-co-1,xam,2
- No Information,asus,tren-3trieu,atx-mid-tower,kinh-cuong-luc,e-atx-1,- No Information,- No Information,- No Information,- No Information,trang,3
- No Information,coolermaster,- No Information,mini-atx,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,hong,4
- No Information,corsair,- No Information,mini-itx-1,- No Information,ceb,- No Information,- No Information,- No Information,- No Information,bac,5
- No Information,cougar,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,xanh-duong,6
- No Information,deepcool,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,edra,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,ekwb,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,fsp,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,gamemax,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,gigabyte,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,goldenfield,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,hangkhac,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,idcooling,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,inwin,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,jetek,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,jonsbo,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,kenoo,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,lianli,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,msi,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,nexus,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,nzxt,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,orient,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,phanteks,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,raijintek,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,sama,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,silverstone,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,supermicro,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,thermaltake,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,vitradragon,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,xigmatek,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,xtech,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
