 danh muc  , hang san xuat  , khoang gia ,  dung luong ,  toc do vong quay ,  bo nho dem (cache) ,  toc do truyen du lieu 
- No Information,seagate,duoi-2trieu,500-gb,5400-rpm,32-mb,6-gbs
- No Information,toshiba,2trieu-4trieu,1-tb,5700-rpm,64-mb,- No Information
- No Information,westerndigital,4trieu-8trieu,2-tb,5900-rpm,128-mb,- No Information
- No Information,- No Information,tren-8trieu,3-tb,7200-rpm,256-mb,- No Information
- No Information,- No Information,- No Information,4-tb,- No Information,512-mb,- No Information
- No Information,- No Information,- No Information,6-tb,- No Information,- No Information,- No Information
- No Information,- No Information,- No Information,8-tb,- No Information,- No Information,- No Information
- No Information,- No Information,- No Information,10-tb,- No Information,- No Information,- No Information
- No Information,- No Information,- No Information,12-tb,- No Information,- No Information,- No Information
- No Information,- No Information,- No Information,12tb,- No Information,- No Information,- No Information
