 danh muc  , hang san xuat  , khoang gia ,  loai ram ,  dung luong ,  bus ram ,  tu sua loi ,  den led 
ram-ddr3,adata,duoi-2trieu,ddr3-1,2gb-1-1,ddr3-1333-mhz,ram-ecc,co-led
ram-ddr4,antecmemory,2trieu-4trieu,ddr4-1,4gb-1-1-1-1,ddr3-1600-mhz,ram-non-ecc,khong-co-led
- No Information,avexir,4trieu-8trieu,- No Information,8gb-1-x-8gb,ddr4-2133-mhz,- No Information,- No Information
- No Information,axpro,tren-8trieu,- No Information,8gb-2-x-4gb,ddr4-2400-mhz,- No Information,- No Information
- No Information,corsair,- No Information,- No Information,16gb-1-x-16gb,ddr4-2666-mhz,- No Information,- No Information
- No Information,gadmei,- No Information,- No Information,16gb-2-x-8gb,ddr4-2800-mhz,- No Information,- No Information
- No Information,gigabyte,- No Information,- No Information,16gb-4-x-4gb,ddr4-3000-mhz,- No Information,- No Information
- No Information,gskill,- No Information,- No Information,32gb-1-x-32gb,ddr4-3200-mhz,- No Information,- No Information
- No Information,hp,- No Information,- No Information,32gb-2-x-16gb,ddr4-3600-mhz,- No Information,- No Information
- No Information,kingmax,- No Information,- No Information,32gb-4-x-8gb,ddr4-4000-mhz,- No Information,- No Information
- No Information,kingston,- No Information,- No Information,64gb-1-x-64gb,- No Information,- No Information,- No Information
- No Information,micron,- No Information,- No Information,64gb-2-x-32gb,- No Information,- No Information,- No Information
- No Information,siliconpower,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
- No Information,team,- No Information,- No Information,- No Information,- No Information,- No Information,- No Information
