Code,Name,ram-ddr3,ram-ddr4,adata,antecmemory,avexir,axpro,corsair,gadmei,gigabyte,gskill,hp,kingmax,kingston,micron,siliconpower,team,duoi-2trieu,2trieu-4trieu,4trieu-8trieu,tren-8trieu,ddr3-1,ddr4-1,2gb-1-1,4gb-1-1-1-1,8gb-1-x-8gb,8gb-2-x-4gb,16gb-1-x-16gb,16gb-2-x-8gb,16gb-4-x-4gb,32gb-1-x-32gb,32gb-2-x-16gb,32gb-4-x-8gb,64gb-1-x-64gb,64gb-2-x-32gb,ddr3-1333-mhz,ddr3-1600-mhz,ddr4-2133-mhz,ddr4-2400-mhz,ddr4-2666-mhz,ddr4-2800-mhz,ddr4-3000-mhz,ddr4-3200-mhz,ddr4-3600-mhz,ddr4-4000-mhz,ram-ecc,ram-non-ecc,co-led,khong-co-led
RAAN020,Ram Desktop ANTECMEMORY 1S (AMD4UZ32661908G-1S) 8GB (1x8GB) DDR4 2666Mhz,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes
RAAN001,RAM Desktop ANTECMEMORY 1S 8GB (1x8GB) 2400MHz,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes
RAGS443,RAM Desktop Gskill Trident Z Neo (F4-3600C16D-16GTZNC) 16GB (2x8GB) DDR4 3600MHz,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
RAMI002,RAM desktop DDR4 Micron ECC 16GB/2133Mhz (ECC Registered),No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes
RAKT241,DDRam 4 Kingston ECC 16GB 2400Mhz - KSM24ED8/16ME,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes
RAKT243,DDRam 4 Kingston ECC 32GB/2666 - KSM26RD4/32HAI Registered,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes
RAKT137,RAM Desktop KINGSTON (KVR16N11S8/4) 4GB (1x4GB) DDR3 1600MHz,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
RASP013,RAM Desktop SILICON POWER 4G (1x4GB) DDR4 2400MHz,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes
RAAN015,DDRam 4 ANTECMEMORY 8GB/2666 (1*8GB) 5S - RGB Led,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No
RAAV170,Ram Desktop AVEXIR 1COR RGB (AVD4UZ330001608G-1CORGB) 8GB (1x8GB) DDR4 3000Mhz,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
RAGS447,RAM Desktop Gskill Trident Z RGB (F4-3600C19D-16GTZRB) 16GB (2x8GB) DDR4 3600MHz,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
RACO312,Ram laptop CORSAIR (CMSX8GX4M1A2400C16) 8GB (1x8GB) DDR4 2400MHz,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
RAKT141,RAM Kingston ECC 8GB DDR3 Bus 1600Mhz ,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes
RASP014,RAM Desktop SILICON POWER 8G (1x8GB) DDR4 2400MHz,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes
RAGS319,RAM Desktop Gskill Trident Z RGB (F4-3000C16D-32GTZR) 32GB (2x16GB) DDR4 3000MHz ,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
RAAD226,RAM Desktop ADATA XPG D10 Black (AX4U266638G16SBG) 8GB (1x8GB) DDR4 2666MHz,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes
RAKT240,RAM Desktop KINGSTON HyperX Predator RGB (HX432C16PB3AK2/32) 32GB (2x16GB) DDR4 3200MHz,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
RAKT249,RAM Desktop KINGSTON HyperX Fury (HX426C16FB3/16) 16GB (1x16GB) DDR4 2666MHz ,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes
RACO322,Ram Desktop Corsair Vengeance PRO RGB (CMW32GX4M2E3200C16) 32GB (2x16GB) DDR4 3200MHz,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No
RAGS448,RAM Desktop Gskill Trident Z RGB (F4-3600C18D-32GTZR) 32GB (2x16GB) DDR4 3600MHz,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No
RACO328,Ram Desktop Corsair Vengeance RGB (CMW64GX4M2E3200C16) 64GB (2x32GB) DDR4 3200MHz,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
RACO313,Ram laptop CORSAIR (CMSX8GX4M1A2666C18) 8GB (1x8GB) DDR4 2666MHz,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
RAAX005,RAM Desktop AXPRO 2GB (1x2GB) DDR3 1600MHz,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
RACO319,RAM Desktop CORSAIR Vengeance PRO RGB (CMW8GX4M1D3000C16) 8GB (1x8GB) DDR4 3000MHz,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No
