Code,Name,adata,apacer,avexir,corsair,crucial,gigabyte,hp,intel,kingfast,kingmax,kingston,plextor,pny,samsung,seagate,siliconpower,team,westerndigital,duoi-1trieu,1trieu-2trieu,2trieu-3trieu,3trieu-4trieu,tren-4trieu,16-gb,32-gb,120-gb,128-gb,240-gb,250-gb,256-gb,480-gb,500-gb-1,512-gb,960-gb,1-tb-1,1-tb-1-1,25-sata,m2-sata,m2-nvme
HDSA089,Ổ cứng SSD Samsung 860 EVO 250GB 2.5 inch SATA3 (Đọc 550MB/s - Ghi 520MB/s),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No
HDPT049,Ổ cứng SSD Plextor PX 256M8VC 256GB 2.5 inch SATA3 (Đọc 560MB/s - Ghi 510MB/s),No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
HDSA091,Ổ cứng SSD Samsung 860 EVO 1TB 2.5 inch SATA3 (Đọc 550MB/s - Ghi 520MB/s),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
HDKT060,Ổ cứng SSD Kingston A2000M8 500GB M.2 2280 PCIe NVMe Gen 3x4 (Đọc 2200MB/s - Ghi 1500MB/s) - (SA2000M8/500G),No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
HDKT074,Ổ cứng SSD Kingston A400 480GB M.2 2280 (Đọc 500MB/s - Ghi 450MB/s) - (SA400M8/480G),No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No
HDKT067,Ổ cứng SSD Kingston KC600 256GB 2.5 inch SATA3 (Đọc 550MB/s - Ghi 500MB/s) - (KC600/256GB) ,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
HDKT039,Ổ cứng SSD Kingston A400 120GB 2.5 inch SATA3 (Đọc 500MB/s - Ghi 320MB/s) - (SA400S37/120G),No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
HDSA095,Ổ cứng SSD Samsung 860 EVO 250GB M.2 2280 (Đọc 540MB/s - Ghi 520MB/s),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
HDKF008,Ổ cứng SSD KINGFAST F6M.2 128GB M.2 2280 (Đọc 550MB/s - Ghi 450MB/s),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No
HDKT061,Ổ cứng SD Kingston A2000M8 1TB M.2 2280 PCIe NVMe Gen 3x4 (Đọc 2200MB/s - Ghi 1900MB/s) - (SA2000M8/1000G),No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
