Code,Name,vga-nvidia,vga-amd,amd,asrock,asus,evga,galax,gigabyte,hp,inno3d,leadtek,msi,palit,pny,quadro,sapphire,zotac,duoi-2trieu,2trieu-3trieu,3trieu-5trieu,5trieu-7trieu,7trieu-9trieu,9trieu-12trieu,12trieu-15trieu,15trieu-18trieu,18trieu-24trieu,tren-24trieu,gaming-1,do-hoa-kien-truc,pho-thong-van-phong,nvidia-gt-710,nvidia-gt-1030,nvidia-gtx-1650,nvidia-gtx-1650-super,nvidia-gtx-1660,nvidia-gtx-1660-super,nvidia-gtx-1660-ti,nvidia-rtx-2060,nvidia-rtx-2060-super,nvidia-rtx-2070,nvidia-rtx-2070-super,nvidia-rtx-2080,nvidia-rtx-2080-super,nvidia-rtx-2080-ti,nvidia-quadro,amd-rx-570,amd-rx-580,amd-rx-5500-xt,amd-rx-5600-xt,amd-rx-5700,amd-rx-5700-xt,amd-rx-vega-64,nvidia-rtx-3070,nvidia-rtx-3080,nvidia-rtx-3090,amd-rx-6800-xt,amd-rx-6800,nvidia-rtx-3060ti,gddr3,gddr5,gddr6,hbm2,gddr6x,1-gb,2-gb,4-gb,5-gb,6-gb,8-gb,11-gb,12-gb,16-gb-1,24-gb,32-gb-1,48-gb,10-gb,20gb,64-bit,128-bit,160-bit,192-bit,256-bit,352-bit,384-bit,2048-bit,3072-bit,4096-bit,320-bit
VGAS549,"Card màn hình Asus TUF RTX3090-O24G-GAMING (24GB GDD6X, 384-bit, HDMI +DP, 2x8-Pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
VGAS550,"Card màn hình Asus ROG STRIX RTX3090-O24G-GAMING (24GB GDD6X, 384-bit, HDMI +DP, 3x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
VGAS540,"Card màn hình Asus TUF RTX3090-24G-GAMING (24GB GDD6X, 384-bit, HDMI +DP, 3x8-Pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
VGAS539,"Card màn hình Asus ROG-STRIX-RTX3090-24G-GAMING (24GB GDD6X, 384-bit, HDMI +DP, 3x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
VGAS546,"Card màn hình Asus TUF RTX3080-O10G-GAMING (10GB GDD6X, 320-bit, HDMI +DP, 2x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
VGAS542,"Card màn hình Asus TUF-RTX3080-10G-GAMING (10GB GDDR6X, 320-bit, HDMI +DP, 2x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
VGAS547,"Card màn hình Asus ROG STRIX RTX3080-010G-GAMING (10GB GDDR6X, 320-bit, HDMI +DP, 3x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
VGAS541,"Card màn hình Asus ROG-STRIX-RTX3080-10G-GAMING (10GB GDDR6X, 320-bit, HDMI +DP, 3x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
VGAS545,"Card màn hình Asus DUAL RTX3070-8G (8GB GDD6, 256-bit, HDMI +DP, 2x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
VGAS556,"Card màn hình Asus ROG STRIX RTX3070-O8G-GAMING (8GB GDD6, 256-bit, HDMI +DP, 2x8-pin)",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
