code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
CPUI263,"CPU Intel Xeon Silver 4110 (2.1GHz turbo up to 3.0GHz, 8 nhân, 16 luồng, 11MB Cache, 85W) - Socket Intel LGA 3647",24 tháng,0,12999000,Categories/img/Cpu/250_40825_hnc_intel_xeon_silver_right_facing_850x850.jpg,- Dòng sản phẩm chuyên biệt dành cho server/máy trạm.- 8 nhân & 16 luồng.- Xung nhịp: 2.1GHz (Cơ bản) / 3.0GHz (Boost).- Socket: LGA 3647.- Hỗ trợ RAM ECC.
CPUI363,"CPU Intel Core i9-10920X (3.5GHz turbo up to 4.6GHz, 12 nhân 24 luồng, 19.25MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,0,21399000,Categories/img/Cpu/250_49436_hnc_intel_i9_10900x_right_facing_850x850.jpg,- CPU Core i thế hệ thứ 10 của Intel.- 12 nhân & 24 luồng.- Xung cơ bản: 3.5 GHz.- Xung tối đa (boost): 4.6 GHz.- Chạy tốt trên các mainboard socket 2066 .
CPUI307,"CPU Intel Core i9-9900X (3.5GHz turbo up to 4.4GHz, 10 nhân 20 luồng, 19.25MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,0,14399000,Categories/img/Cpu/250_45079_hnc_intel_core_i9_xtreme_right_facing_850x850.jpg,"- Socket: FCLGA2066.- Số lõi/luồng: 10/20-Tần số cơ bản/turbo: 3.5/4.4 GHz.- Bộ nhớ đệm: 19,5 MB.- Mức tiêu thụ điện: 165 W."
CPUI316,"CPU Intel Core i9-9900KF (3.6GHz turbo up to 5.0GHz, 8 nhân 16 luồng, 16MB Cache, 95W) - Socket Intel LGA 1151-v2",24 tháng,12599000,11999000,Categories/img/Cpu/250_45160_hnc_intel_i9_9900kf_right_facing_850x850.jpg,- Phiên bản cắt giảm đi nhân đồ họa tích hợp của 9900K.- Số nhân: 8.- Số luồng: 16.- Tốc độ cơ bản: 3.6 GHz.- Tốc độ tối đa: 5.0 GHz.
CPUI364,"CPU Intel Core i9-10940X (3.3GHz turbo up to 4.6GHz, 14 nhân, 28 luồng, 19.25 MB Cache, 165W) - Socket Intel LGA 2066)",24 tháng,0,23999000,Categories/img/Cpu/250_49437_hnc_intel_i9_10900x_right_facing_850x850.jpg,- CPU Core i thế hệ thứ 10 của Intel.- 14 nhân & 28 luồng.- Xung cơ bản: 3.3 GHz.- Xung tối đa (boost): 4.6 GHz.- Chạy tốt trên các mainboard socket 2066 .
CPUI301,"CPU Intel Core i9-9900K (3.6GHz turbo up to 5.0GHz, 8 nhân 16 luồng, 16MB Cache, 95W) - Socket Intel LGA 1151-v2",24 tháng,11999000,10599000,Categories/img/Cpu/250_44016_hnc_intel_i9_9900k_right_facing_850x850.jpg,"- Bộ vi xử lý Intel Core i9 9900K, 8 nhân 16 luồng, 16MB cache.- Là sản phẩm dựa trên kiến trúc Coffee Lake Refresh thế hệ mới nhất.- Bộ vi xử lý này có tần số cơ bản là 3.6 GHz turbo lên tới 5.0 GHz. Mức TDP 95W.- Hỗ trợ RAM DDR4 2666 / Dual Channel."
CPUI382,"CPU Intel Core i5-10500 (3.1GHz turbo up to 4.5Ghz, 6 nhân 12 luồng, 12MB Cache, 65W) - Socket Intel LGA 1200",24 tháng,5699000,5499000,Categories/img/Cpu/250_52613_intel_core_i5_10500.jpg,- Dòng Core i5 thế hệ thứ 10 dành cho máy bàn của Intel.- 6 nhân & 12 luồng.- Xung nhịp: 3.1GHz (Cơ bản) / 4.5GHz (Boost).- Socket: LGA1200.- Đã kèm sẵn tản nhiệt từ hãng.
CPUI404,"CPU Intel Core i9-10900K Avengers Edition (3.7GHz turbo up to 5.3GHz, 10 nhân 20 luồng, 20MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,0,13899000,Categories/img/Cpu/250_54633_i9_10900k_real.jpg,- Phiên bản đặc biệt với vỏ hộp Avengers từ Marvel.- 10 nhân & 20 luồng.- Xung nhịp: 3.7GHz (Cơ bản) / 5.3GHz (Boost).- Socket: LGA1200.- Đã tích hợp sẵn iGPU.
CPUA246,"CPU AMD Ryzen 7 5800X (3.8 GHz Upto 4.7GHz / 36MB / 8 Cores, 16 Threads / 105W / Socket AM4)",24 tháng,0,11599000,Categories/img/Cpu/250_56283_amd_5800x_1000.jpg,- CPU Ryzen 7 5800X.- Kiến trúc Zen 3 mới nhất của AMD.- Số nhân: 8 .- Số luồng: 16.- Xung nhịp CPU: 3.8 - 4.7Ghz (Boost Clock).
CPUI302,"CPU Intel Xeon E-2136 (3.3 GHz turbo up to 4.5GHz, 6 nhân, 12 luồng, 12MB Cache, 80W) (Tray, No Fan) - Socket Intel LGA 1151-v2",24 tháng,0,7779000,Categories/img/Cpu/250_44505_hnc_intel_xeon_e_2136_right_facing_850x850.jpg,"- Dòng sản phẩm chuyên biệt dành cho máy trạm giá rẻ.- Phù hợp cho các phần mềm render, thiết kế.- 6 nhân & 12 luồng.- Xung nhịp: 3.3 GHz (Cơ bản) / 4.5 GHz (Boost).- Socket: LGA 1151v2 (C246)."
CPUI395,"CPU Intel Core i5-10600 (3.3GHz turbo up to 4.8GHz, 6 nhân 12 luồng, 12MB Cache, 65W) - Socket Intel LGA 1200",24 tháng,6399000,5999000,Categories/img/Cpu/250_52658_intel_core_i5_10600_100.jpg,- Dòng Core i thế hệ thứ 10 dành cho máy bàn của Intel.- 6 nhân & 12 luồng.- Xung nhịp: 3.3GHz (Cơ bản) / 4.8GHz (Boost).- Socket: LGA1200.- Đã kèm sẵn tản nhiệt từ hãng.
CPUA229,"CPU AMD Ryzen 9 3900XT (3.8 GHz turbo upto 4.7GHz / 70MB / 12 Cores, 24 Threads / 105W / Socket AM4)",24 tháng,0,12899000,Categories/img/Cpu/250_53801_3900xt.jpg,- Phiên bản 3900 cải tiến của AMD.- 12 nhân & 24 luồng.- Xung cơ bản: 3.8 GHz.- Xung tối đa (boost): 4.7 GHz.- Chạy tốt trên các bo mạch chủ X570 đời cao.
CPUA211,"CPU AMD Ryzen 3 3200G (3.6GHz turbo up to 4.0GHz, 4 nhân 4 luồng, 4MB Cache, Radeon Vega 8, 65W) - Socket AMD AM4",24 tháng,0,2599000,Categories/img/Cpu/250_47180_hnc_ryzen_3g_right_facing_850x850.jpg,"- APU Ryzen thế hệ thứ 3, tiến trình sản xuất 12nm.- 4 nhân, 4 luồng, xung nhịp mặc định 3.6 GHz, xung nhịp boost tối đa 4.0 GHz.- Tích hợp Radeon™ RX Vega 8 Graphics.- Hỗ trợ PCI-e 3.0 x8.- Có hỗ trợ ép xung."
CPUI243,"CPU Intel Core i5-8400 (2.8GHz turbo up to 4.0GHz, 6 nhân 6 luồng, 9MB Cache, 65W) - Socket Intel LGA 1151 v2",36 tháng,0,4999000,Categories/img/Cpu/250_53069_intel_core_i5_8400.jpg,- Dòng Core i thế hệ thứ 8 dành cho máy bàn của Intel.- 6 nhân & 6 luồng.- Xung nhịp: 2.8GHz (Cơ bản) / 4.0GHz (Boost).- Socket: LGA 1151v2.- Đã kèm sẵn tản nhiệt từ hãng.
CPUA247,"CPU AMD Ryzen 9 5900X (3.7 GHz Upto 4.8GHz / 70MB / 12 Cores, 24 Threads / 105W / Socket AM4)",24 tháng,0,14299000,Categories/img/Cpu/250_56284_cpu_amd_ryzen_9_5900x.jpg,- CPU Ryzen 9 5900X.- Kiến trúc Zen 3 mới nhất của AMD.- Số nhân: 12 .- Số luồng: 24.- Xung nhịp CPU: 3.7 - 4.8Ghz (Boost Clock).
CPUA212,"CPU AMD Ryzen 5 3400G (3.7GHz turbo up to 4.2GHz, 4 nhân 8 luồng, 4MB Cache, Radeon Vega 11, 65W) - Socket AMD AM4",24 tháng,0,3999000,Categories/img/Cpu/250_47181_hnc_ryzen_5g_right_facing_850x850.jpg,"- APU Ryzen thế hệ thứ 3, tiến trình sản xuất 12nm.- 4 nhân, 8 luồng, xung nhịp mặc định 3.7 GHz, xung nhịp boost tối đa 4.2 GHz.- Tích hợp Radeon™ RX Vega 11 Graphics.- Hỗ trợ PCI-e 3.0.- Có hỗ trợ ép xung."
CPUI406,"CPU Intel Core i5-10600K Avengers Edition (4.1GHz turbo up to 4.8GHz, 6 nhân 12 luồng, 12MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,7699000,7299000,Categories/img/Cpu/250_54635_i5_10600k_avengers_850x850_2.jpg,- Phiên bản đặc biệt với vỏ hộp Avengers từ Marvel.- 6 nhân & 12 luồng.- Xung nhịp: 4.1GHz (Cơ bản) / 4.8GHz (Boost).- Socket: LGA1200.- Đã tích hợp sẵn iGPU.
CPUI398,"CPU Intel Xeon W-1270P (3.8 GHz turbo up to 5.1GHz, 8 nhân 16 luồng, 16MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,12999000,12699000,Categories/img/Cpu/250_53877_intel_xeon_w.jpg,- No information
CPUA248,"CPU AMD Ryzen 9 5950X (3.4 GHz Upto 4.9GHz / 72MB / 16 Cores, 32 Threads / 105W / Socket AM4)",24 tháng,0,20899000,Categories/img/Cpu/250_56285_cpu_amd_ryzen_9_5950x.jpg,- CPU Ryzen 9 5950X.- Kiến trúc Zen 3 mới nhất của AMD.- Số nhân: 16 .- Số luồng: 32.- Xung nhịp CPU: 3.4 - 4.9Ghz (Boost Clock).
CPUI233,"CPU Intel Core i3-7100 (3.9GHz, 2 nhân  4 luồng, 3MB Cache, 51W) - Socket Intel LGA 1151",24 tháng,2899000,2599000,Categories/img/Cpu/250_35231_hnc_intel_i3_7100_right_facing_850x850.jpg,- 2 nhân & 4 luồng.- Xung nhịp: 3.9GHz (Tối đa).- Socket: LGA1151.- Đã kèm sẵn tản nhiệt từ hãng.- Đã tích hợp sẵn iGPU.
CPUA201,"CPU AMD Ryzen 7 2700 (3.2GHz turbo up to 4.1GHz, 8 nhân 16 luồng, 16MB Cache, 65W) - Socket AMD AM4",24 tháng,5599000,4599000,Categories/img/Cpu/250_42103_hnc_ryzen_7_2700_right_facing_850x850.jpg,"- Phiên bản AMD Ryzen 7 2700 có 8 nhân (16 luồng) cho hiệu năng đa nhiệm cao hơn nhiều thế hệ trước. Ngoài ra dòng CPU này có khả năng OC cao cấp càng tăng cường thêm hiệu suất cho hệ thống. .- Hoàn toàn tương thích với các hệ thống sử dụng thế hệ Chipset thế hệ trước: A320. B350,X370..- Sản phẩm này phù hợp các hệ thống máy Gaming, Stream, giải trí Hi-End cao cấp. Đây là dòng CPU đa nhân, đa nhiệm có mức xung nhịp cao phù hợp các hệ thống máy WORKSTATION như dựng hình 3D (3DS MAX, MAYA, Blender, Sketchup...), Render 3D, dựng phim (Adobe Premiere, After Effect, Sony Vegas, Corel Studio...), ứng dụng biên tập ảnh (Photoshop, Lightroom...) và các ứng dụng khác...."
CPUI309,"CPU Intel Core i9-9940X (3.3GHz turbo up to 4.4GHz, 14 nhân 28 luồng, 19.25MB Cache, 165W) - Socket Intel LGA 2066",24 tháng,19799000,19299000,Categories/img/Cpu/250_45081_hnc_intel_i9_10900x_right_facing_850x850.jpg,"- Tiến trình sản xuất 14 nm.- 14 nhân, 28 luồng, xung nhịp cơ bản 3.3 GHz, xung nhịp Boost tối đa 4.4 GHz.- Hỗ trợ RAM DDR4.- Không đi kèm quạt tản nhiệt.- Đã mở khóa hệ số nhân."
CPUA213,"CPU AMD Ryzen 5 3600 (3.6GHz turbo up to 4.2GHz, 6 nhân 12 luồng, 35MB Cache, 65W) -  Socket AMD AM4",24 tháng,0,5199000,Categories/img/Cpu/250_47182_hnc_amd_ryzen_5_left_facing_850x850.jpg,"- CPU Ryzen thế hệ thứ 3, tiến trình sản xuất 7nm.- 6 nhân, 12 luồng, xung nhịp mặc định 3.6 GHz, xung nhịp boost tối đa 4.2 GHz.- Hỗ trợ PCI-e 4.0.- Có hỗ trợ ép xung.- Đi kèm tản nhiệt Wraith Stealth."
CPUI376,"CPU Intel Core i7-10700K (3.8GHz turbo up to 5.1GHz, 8 nhân 16 luồng, 16MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,10899000,10499000,Categories/img/Cpu/250_52360_intel_core_i5_10700k.jpg,- Dòng Core i thế hệ thứ 10 dành cho máy bàn của Intel.- 8 nhân & 16 luồng.- Xung nhịp: 3.8GHz (Cơ bản) / 5.1GHz (Boost).- Socket: LGA1200.- Không kèm sẵn tản nhiệt từ hãng.
CPUA214,"CPU AMD Ryzen 5 3600X (3.8GHz turbo up to 4.4GHz, 6 nhân 12 luồng, 32MB Cache, 95W) - Socket AMD AM4",24 tháng,6299000,5699000,Categories/img/Cpu/250_47183_hnc_amd_ryzen_5_left_facing_850x850.jpg,"- CPU Ryzen thế hệ thứ 3, tiến trình sản xuất 7nm.- 6 nhân, 12 luồng, xung nhịp mặc định 3.8 GHz, xung nhịp boost tối đa 4.4 GHz.- Hỗ trợ PCI-e 4.0.- Có hỗ trợ ép xung.- Đi kèm tản nhiệt Wraith Spire."
CPUI377,"CPU Intel Core i7-10700KF (3.8GHz turbo up to 5.1Ghz, 8 nhân 16 luồng, 16MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,0,9899000,Categories/img/Cpu/250_52361_intel_core_i5_10700kf.jpg,- Dòng Core i thế hệ thứ 10 dành cho máy bàn của Intel.- 8 nhân & 16 luồng.- Xung nhịp: 3.8GHz (Cơ bản) / 5.1GHz (Boost).- Socket: LGA1200.- Không kèm sẵn tản nhiệt từ hãng.
CPUI400,"CPU Intel Xeon W-1250P (4.1 GHz turbo up to 4.8 GHz, 6 nhân 12 luồng, 12MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,9499000,9099000,Categories/img/Cpu/250_53879_intel_xeon_w.jpg,- No information
CPUI241,"CPU Intel Core i3-8100 (3.6GHz, 4 nhân, 4 luồng, 6MB Cache, 65W) - Socket Intel LGA 1151-v2",24 tháng,3199000,2799000,Categories/img/Cpu/250_37771_hnc_intel_i3_8100_right_face_850x850.jpg,"- Thế hệ thứ 8 của dòng Core i với tên gọi Coffee Lake. Sử dụng socket 1151V2 và chạy trên các mainboard 300 series chipset..- Sản phẩm Intel Core i3 8100 có mức xung nhịp 3.6 GHz, 4 nhân / 4 luồng, 6MB Cache hỗ trợ Ram DDR4 2400. .- Đây là CPU xử lý tốt cho Game, giải trí đa phương tiện cùng các ứng dụng làm việc phổ thông.."
CPUI283,"CPU Intel Pentium Gold G5400 (3.7GHz, 2 nhân 4 luồng, 4MB Cache, 58W) - Socket Intel LGA 1151-v2",24 tháng,0,1599000,Categories/img/Cpu/250_43045_hnc_intel_pentium_gold_right_face_850x850.jpg,"- Tiến trình sản xuất 14nm.- 2 nhân, 4 luồng, xung nhịp cơ bản 3.7 GHz, không có Turbo boost.- Hỗ trợ RAM DDR4, bus tối đa 2400 MHz.- Tích hợp card đồ hoạ Intel® UHD Graphics 610.- Có đi kèm quạt tản nhiệt."
CPUI313,"CPU Intel Core i5-9400F (2.9GHz turbo up to 4.1GHz, 6 nhân 6 luồng, 9MB Cache, 65W) - Socket Intel LGA 1151-v2 ",24 tháng,3899000,3599000,Categories/img/Cpu/250_45157_hnc_intel_i5_9400f_right_facing_850x850.jpg,"- Tiến trình sản xuất 14 nm.- 6 nhân, 6 luồng, xung nhịp cơ bản 2.9 GHz, xung nhịp Boost tối đa 4.1 GHz.- Hỗ trợ RAM DDR4, Bus tối đa 2666 MHz.- Có đi kèm quạt tản nhiệt."
CPUA215,"CPU AMD Ryzen 7 3700X (3.6GHz turbo up to 4.4GHz, 8 nhân 16 luồng, 32MB Cache, 65W) - Socket AMD AM4",24 tháng,8599000,8299000,Categories/img/Cpu/250_47184_hnc_amd_ryzen_7_right_facing_850x850.jpg,"- CPU Ryzen thế hệ thứ 3, tiến trình sản xuất 7nm.- 8 nhân, 16 luồng, xung nhịp mặc định 3.6 GHz, xung nhịp boost tối đa 4.4 GHz.- Hỗ trợ PCI-e 4.0.- Có hỗ trợ ép xung.- Đi kèm tản nhiệt Wraith Prism với RGB LED."
CPUI387,"CPU Intel Pentium Gold G6400 (4.0GHz, 2 nhân 4 luồng, 4MB Cache, 58W) - Socket Intel LGA 1200)",24 tháng,0,1559000,Categories/img/Cpu/250_52618_intel_g6400.jpg,- Dòng sản phẩm cơ bản đến từ Intel.- 2 nhân & 4 luồng.- Xung nhịp: 4.0GHz (Tối đa).- Socket: LGA1200.- Đã kèm sẵn tản nhiệt từ hãng.
CPUI393,"CPU Intel Core i7-10700 (2.9GHz turbo up to 4.8GHz, 8 nhân 16 luồng, 16MB Cache, 65W) - Socket Intel LGA 1200",24 tháng,9499000,8899000,Categories/img/Cpu/250_52656_intel_core_i7_10700.jpg,- Dòng Core i7 thế hệ thứ 10 dành cho máy bàn của Intel.- 8 nhân & 16 luồng.- Xung nhịp: 2.9GHz (Cơ bản) / 4.8GHz (Boost).- Socket: LGA1200.- Đã kèm sẵn tản nhiệt từ hãng.
CPUA223,"CPU AMD Ryzen 9 3950X (3.5GHz turbo up to 4.7GHz, 16 nhân 32 luồng, 72MB Cache, 105W) - Socket AMD AM4",24 tháng,0,19299000,Categories/img/Cpu/250_50260_hnc_amd_ryzen_9_3950x_right_facing_850x850.jpg,- CPU đầu bảng của AMD dành cho socket AM4.- 16 nhân & 32 luồng.- Xung cơ bản: 3.5 GHz.- Xung tối đa (boost): 4.7 GHz.- Chạy tốt trên các bo mạch chủ X570 đời cao.
CPUI390,"CPU Intel Pentium Gold G5420 (3.8GHz, 2 nhân 4 luồng, 4MB Cache, 54W) - Socket Intel LGA 1151)",24 tháng,1699900,1599000,Categories/img/Cpu/250_52621_intel_g5420.jpg,- Dòng sản phẩm cơ bản đến từ Intel.- 2 nhân & 4 luồng.- Xung nhịp: 3.8GHz (Tối đa).- Socket: LGA1200.- Đã kèm sẵn tản nhiệt từ hãng.
CPUI394,"CPU Intel Core i7-10700F (2.9GHz turbo up to 4.8GHz, 8 nhân 16 luồng, 16MB Cache, 65W) - Socket Intel LGA 1200",24 tháng,0,8299000,Categories/img/Cpu/250_52657_intel_core_i7_10700.jpg,- Dòng Core i7 thế hệ thứ 10 dành cho máy bàn của Intel.- 8 nhân & 16 luồng.- Xung nhịp: 2.9GHz (Cơ bản) / 4.8GHz (Boost).- Socket: LGA1200.- Đã kèm sẵn tản nhiệt từ hãng.
CPUA226,"CPU AMD Athlon 3000G (3.5GHz, 2 nhân 4 luồng , 5MB Cache, 35W) - Socket AMD AM4",24 tháng,1359000,1299000,Categories/img/Cpu/250_53258_hnc_cpu_amd_athlon_3000g.jpg,- APU giá rẻ của AMD.- 2 nhân & 4 luồng.- Xung cơ bản: 3.5 GHz.- Phù hợp cho những dàn máy cơ bản.
CPUA222,"CPU AMD Ryzen Threadripper 3960X (3.8GHz turbo up to 4.5GHz, 24 nhân 48 luồng, 140MB Cache, 280W) - Socket sTRX4",24 tháng,0,36599000,Categories/img/Cpu/250_50230_hnc_ryzen_threadripper_3960x_right_facing_850x850.jpg,- CPU Threadripper thế hệ thứ 3 được mong chờ của AMD.- 24 nhân & 48 luồng.- Xung cơ bản: 3.8 GHz.- Xung tối đa (boost): 4.5 GHz.- Chạy tốt trên các mainboard socket sTRX4 .
CPUA217,"CPU AMD Ryzen 9 3900X (3.8GHz turbo up to 4.6GHz, 12 nhân 24 luồng, 70MB Cache, 105W) - Socket AMD AM4",24 tháng,12699000,12299000,Categories/img/Cpu/250_47186_hnc_amd_ryzen_9_right_facing_850x850.jpg,"- CPU Ryzen thế hệ thứ 3, tiến trình sản xuất 7nm.- 12 nhân, 24 luồng, xung nhịp mặc định 3.6 GHz, xung nhịp boost tối đa 4.6 GHz.- Hỗ trợ PCI-e 4.0.- Hỗ trợ ép xung.- Đi kèm tản nhiệt Wraith Prism với RGB LED."
CPUI312,"CPU Intel Core i3-9100F (3.6Ghz, 4 nhân 4 luồng, 6MB Cache, 65W) - Socket Intel LGA 1151-v2",24 tháng,2059000,1899000,Categories/img/Cpu/250_45170_hnc_intel_core_i3_9100f_right_face_850x850.jpg,"- Tiến trình sản xuất 14 nm.- 4 nhân, 4 luồng, xung nhịp cơ bản 3.6 GHz, xung nhịp Boost tối đa 4.2 GHz.- Hỗ trợ RAM DDR4, Bus tối đa 2400 MHz.- Có đi kèm quạt tản nhiệt."
CPUI405,"CPU Intel Core i7-10700K Avengers Edition (3.8GHz turbo up to 5.1GHz, 8 nhân 16 luồng, 16MB Cache, 125W) - Socket Intel LGA 1200",24 tháng,0,10499000,Categories/img/Cpu/250_54634_i7_10700k_avengers_850x850_2.jpg,- Phiên bản đặc biệt với vỏ hộp Avengers từ Marvel.- 8 nhân & 16 luồng.- Xung nhịp: 3.8GHz (Cơ bản) / 5.1GHz (Boost).- Socket: LGA1200.- Đã tích hợp sẵn iGPU.
CPUA224,"CPU AMD Ryzen 3 3100 (3.6GHz turbo up to 3.9GHz, 4 nhân 8 luồng, 16MB Cache, 65W) - Socket AMD AM4",24 tháng,0,2549000,Categories/img/Cpu/250_52622_amd_3100.jpg,"- CPU Ryzen thế hệ thứ 3, tiến trình sản xuất 7nm.- 4 nhân, 8 luồng, xung nhịp mặc định 3.6 GHz, xung nhịp boost tối đa 3.9 GHz.- Hỗ trợ PCI-e 4.0.- Hỗ trợ ép xung.- Đi kèm sẵn tản nhiệt từ hãng."
CPUI327,"CPU Intel Xeon E-2236 (3.4GHz turbo up to 4.8GHz, 6 nhân, 12 luồng, 12 MB Cache, 80W) - Socket Intel LGA 1151-v2",24 tháng,0,7799000,Categories/img/Cpu/250_48418_hnc_intel_xeon_e_coffee_lake_right_facing_850x850.jpg,"- Dòng sản phẩm chuyên biệt dành cho máy trạm giá rẻ.- Phù hợp cho các phần mềm render, thiết kế.- 6 nhân & 12 luồng.- Xung nhịp: 3.4 GHz (Cơ bản) / 4.8 GHz (Boost).- Socket: LGA 1151v2 (C246)."
