code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
HDWD115,"Ổ cứng HDD Western Caviar Red 1TB 3.5 inch 5400RPM, SATA3 6Gb/s, 64MB Cache",24 tháng,1999000,1599000,Categories/img/Hdd/250_12824_hdd_western_caviar_red_1tb_3_5_inch_5400rpm.jpg,- Được thiết kế đặc biệt để sử dụng trong các hệ thống NAS tối đa 8 khay.- Hỗ trợ tốc độ tải công việc lên tới 180 TB / năm..- Hệ thống NAS phù hợp cho văn phòng nhỏ và sử dụng tại nhà liên tục 24/7.
HDSE192,Ổ cứng gắn trong Seagate SkyHawk AI 8TB 7200rpm SATA 3.5 inch ( ST8000VE000 ) ,24 tháng,7590000,6699000,Categories/img/Hdd/250_47156_____c___ng_g___n_trong_seagate_skyhawk_ai_8tb.jpg,- Ổ cứng chuyên dụng cho các hệ thống Camera.- Hỗ trợ hệ thống giám sát tối ưu 24/7.- Trang bị bộ cảm biến duy trì hiệu năng hoạt động.- Hỗ trợ phát dẫn ATA.- Tiêu thụ điện năng rất thấp.
HDSE155,"Ổ cứng HDD Seagate IRONWOLF 2TB 3.5 inch , 5900RPM, SATA3, 64MB Cache (ST2000VN004)",24 tháng,2599000,2199000,Categories/img/Hdd/250_35238_hdd_seagate_ironwolf_nas_2tb_3_5_inch___5900rpm.jpg,- Bộ nhớ đệm 64 MB.- Cổng giao tiếp SATA 6Gb/s.- Dung lượng 2TB.- Kích thước 3.5 inch.- Tốc độ vòng quay 5900rpm.
HDSE184,"Ổ cứng HDD Seagate Barracuda 2TB 3.5 inch 7200RPM, SATA3 6GB/s, 256MB Cache - (ST2000DM008)",24 tháng,2218000,1549000,Categories/img/Hdd/250_44444_hdd_seagate_barracuda_2tb.jpg,- Dung lượng: 2TB.- Tốc độ quay: 7200rpm.- Bộ nhớ Cache: 256Mb.- Chuẩn giao tiếp: SATA3.- Kích thước: 3.5Inch.
HDWD348,HDD WD Gold (14TB/3.5/SATA 3/256MB Cache/7200RPM) (WD141KRYZ),24 tháng,15999000,13999000,Categories/img/Hdd/250_54686_hdd_wd_gold__14tb3_5sata_3256mb_cache7200rpm_.jpg,- Ổ HDD chuyên dụng dành cho Sever.- Dung lượng lưu trữ: 14TB.- Kích thước / Loại: 3.5 inch.- Tốc độ chuẩn kết nối: 6 Gb/s.- Tốc độ ghi dữ liệu: 255 MB/s.
HDSE079,"Ổ cứng HDD Seagate 1TB 3.5 inch 7200RPM, SATA3 6GB/s, 64MB Cache - (ST1000DM010)",24 tháng,1299000,959000,Categories/img/Hdd/250_25629_hdd_seagate_1tb_3_5_inch_7200rpm.jpg,- Dung lượng: 1TB.- Tốc độ quay: 7200rpm.- Bộ nhớ Cache: 64Mb.- Chuẩn giao tiếp: SATA3.- Kích thước: 3.5Inch.
HDSE157,"Ổ cứng HDD Seagate IRONWOLF 4TB 3.5 inch , 5900RPM, SATA3, 64MB Cache (ST4000VN008)",24 tháng,3599000,3399000,Categories/img/Hdd/250_35239_____c___ng_hdd_seagate_ironwolf_nas_4tb_3_5_inch_1.jpg,- Bộ nhớ đệm 64 MB.- Cổng giao tiếp SATA 6Gb/s.- Dung lượng 4TB.- Kích thước 3.5 inch.- Tốc độ vòng quay 5900rpm.
HDSE147,"Ổ cứng HDD Seagate SkyHawk SURVEILLANCE 2TB 3.5 inch 5900RPM, SATA3 6GB/s, 64MB Cache - (ST2000VX008)",24 tháng,1980000,1599000,Categories/img/Hdd/250_35130_hdd_seagate_skyhawk_surveillance_2tb.jpg,- Dung lượng: 2TB.- Tốc độ vòng quay: 5900rpm.- Bộ nhớ đệm: 64MB Cache.- Kích thước: 3.5”.- Chuẩn kết nối: SATA 6Gb/s.
HDWD328,Ổ cứng HDD WD Blue 6TB/5400RPM SATA 3 256MB Cache,24 tháng,5299000,4999000,Categories/img/Hdd/250_51810_wd_blue6t.jpeg,- Chuẩn kết nối: SATA 3 (6Gb/s).- Dung lượng lưu trữ: 6TB (6000GB).- Kích thước / Loại: 3.5 inch.- Công nghệ Advanced Format (AF): Có.- Chứng nhận tiêu chuẩn RoHS.
HDWD349,HDD WD Gold (12TB/3.5/SATA 3/256MB Cache/7200RPM) (WD121KRYZ),24 tháng,14999000,12999000,Categories/img/Hdd/250_54687_wd121kryz.jpg,- Ổ HDD chuyên dụng dành cho Sever.- Dung lượng lưu trữ: 12TB.- Kích thước / Loại: 3.5 inch.- Tốc độ chuẩn kết nối: 6 Gb/s.- Tốc độ ghi dữ liệu: 255 MB/s.
