code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
KBAS026,Bàn phím chơi game Asus TUF K5 (USB/RGB/Đen) ,24 tháng,1299000,989000,Categories/img/Keyboard/250_55028_ban_phim_choi_game_asus_tuf_k5_usb_rgb_den_0004_5.jpg,"- Bàn phím chơi game Asus TUF K5 (USB/RGB/Đen).- Công tắc phím Mech-Brane của TUF Gaming và khả năng chống mất kí tự khi gõ nhiều phím một lúc với chức năng nhận đồng thời tối đa 24 phím giúp tăng độ phản hồi và hiệu quả tin cậy.- Đã được kiểm chứng với tác vụ nặng, được trang bị lớp mạ chuyên dụng để tăng cường độ bền và chống tràn nước để chơi game mỗi ngày.- Năm vùng đèn led ASUS Aura Sync RGB có thể tùy biến độc lập với tính năng đồng bộ hóa đa thiết bị để đạt được khả năng chiếu sáng vô hạn.- Các phím đa phương tiện chuyên dụng ở phía trên bên trái để điều chỉnh âm lượng tức thì mà không làm ngắt quãng trong khi bạn đang chơi game."
KBAS013,Bàn phím cơ Asus ROG Claymore Core RGB Aura Sync Cherry Blue switch,24 tháng,0,3789000,Categories/img/Keyboard/250_40590_rog_claymore_core_3.jpg,"- Bàn phím Asus ROG Claymore Core.- Các phím được chiếu đèn nền riêng với công nghệ LED Aura Sync RGB cho vô số tùy chọn cá nhân hóa.- Các phím có thể được lập trình toàn diện với chế độ ghi macro bất cứ lúc nào.- Công nghệ chống sót phím 100% với khả năng ghi nhận N phím cùng lúc (NKRO).- Phím nóng cho tốc độ quạt, ánh sáng và điều khiển ép xung khi được kết hợp với bo mạch chủ ASUS ROG."
KBAS014,Bàn phím cơ Asus US ROG Claymore Core RGB Aura Sync Cherry Red switch,24 tháng,0,3789000,Categories/img/Keyboard/250_40591_rog_claymore_core_3.jpg,"- Bàn phím Asus ROG Claymore Core.- Các phím được chiếu đèn nền riêng với công nghệ LED Aura Sync RGB cho vô số tùy chọn cá nhân hóa.- Các phím có thể được lập trình toàn diện với chế độ ghi macro bất cứ lúc nào.- Công nghệ chống sót phím 100% với khả năng ghi nhận N phím cùng lúc (NKRO).- Phím nóng cho tốc độ quạt, ánh sáng và điều khiển ép xung khi được kết hợp với bo mạch chủ ASUS ROG."
KBAS022,Bàn phím Asus ROG Strix Scope RGB Red switch,24 tháng,3999000,3589000,Categories/img/Keyboard/250_52945_01_rog_strix_scope_3d_6_aura_silver_keycap.png,"- Bàn phím Asus ROG Strix Scope Blue switch.- Lý tưởng cho các game FPS: phím Ctrl lớn gấp đôi, thiết kế công thái học giúp giảm nhấn phím nhầm để tăng độ chính xác FPS.- Phím chuyển đổi nhanh: Chuyển đổi tức thì giữa phím chức năng và phím đa phương tiện.- Phím ẩn: Nhấn để ẩn mọi ứng dụng và tắt âm thanh để vào chế độ riêng tư; nhấn lần nữa để hiển thị trở lại.- Công tắc Cherry MX: Công tắc phím được sản xuất tại Đức và được kiểm nghiệm chi tiết độ phản hồi trên từng phím bấm để đảm bảo độ chính xác.."
KBFC073,Bàn phím cơ Filco Majestouch Convertible 2 Blue switch 104 Black - FKBC104MC/EB2,24 tháng,4169000,3999000,Categories/img/Keyboard/250_27101_keyboard_filco_majestouch_convertible_2_blue_switch_104_black_fkbc104mceb2_0003_1.jpg,"- Bàn phím cơ của Filco đến từ Nhật Bản.- Có khả năng kết nối Bluetooth, sử dụng cùng 1 lúc với 5 thiết bị khác nhau.- Ipad/Iphone/Tablet/PC/Laptop.- Độ bền rất cao, đã được cộng đồng thế giới ghi nhận.- Chân chống phụ bọc cao su giúp tăng khả năng ma sát với mặt bàn."
KBLO070,Bàn phím Logitech K270 Wireless Black,24 tháng,0,459000,Categories/img/Keyboard/250_36269_keyboard_logitech_k270_wireless_black_0000_1.jpg,- Bàn phím Logitech K270 Wireless.- Kết nối không dây thuận tiện.- Đầu thu Logitech Unifying.- Tuổi thọ pin lên đến 24 tháng.
KBLP060,Bàn phím cơ Leopold FC750R PD TKL PBT Doubleshot Red switch Black ,24 tháng,0,2949000,Categories/img/Keyboard/250_37266_keyboard_leopold_fc750r_pd_tkl_pbt_doubleshot_red_switch_black_0000_4.jpg,"- Thương hiệu bàn phím cơ lâu đời đến từ Hàn Quốc.- Keycap chất liệu PBT Doubleshot siêu bền .- Sử dụng 100% Switch Cherry chất lượng cao nhất.- Không có hệ thống đèn Led, nhưng tối ưu tốt cảm giác gõ.- Dây cáp Mini-USB có thể tháo rời."
KBCS049,Bàn phím cơ Corsair K70 RGB MK2 SE Mechanical Cherry MX Speed,24 tháng,4549000,3599000,Categories/img/Keyboard/250_42939_keyboard_corsair_k70_rgb_mk_2_se_mechanical_cherry_mx_speed_0004_1.jpg,"- Phiên bản nâng cấp và thay thế cho Corsair K70 RGB.- Phiên bản đặc biệt của K70 RGB MK2 có tông màu trắng.- Sử dụng Switch Cherry MX RGB chất lượng cao cấp nhất.- Đi kèm sẵn Keycap PBT Doubleshot, cho cảm giác gõ tuyệt vời.- Hệ thống Led RGB 16,8 triệu màu tùy chỉnh qua Driver CUE*."
KBDG001,Bàn phím cơ Durgod Taurus K310 Space Gray Mechanical Cherry Brown Switch US,24 tháng,0,2249000,Categories/img/Keyboard/250_44599_keyboard_durgod_taurus_k310_space_gray_mechanical_cherry_brown_switch_us_0000_1.jpg,"- Thương hiệu bàn phím cơ Durgod hoàn toàn mới.- Được sản xuất và lắp ráp tại nhà máy uy tín tại Trung Quốc.- Chất lượng tổng thể cứng cáp, chắc chắn.- Switch sử dụng 100% Cherry MX from Germany.- Anti-Ghosting 100% và NKRO qua cổng USB."
KBDA025,Bàn phím cơ Dareu EK1280 RGB Mechanical Brown D Switch Black,24 tháng,0,1079000,Categories/img/Keyboard/250_46293_keyboard_dareu_ek1280_rgb_mechanical_brown_d_switch_black_1.jpg,- Bàn phím cơ Dareu EK1280.- Thiết kế fullsize 104 phím.- Sử dụng D switch độc quyền DareU.- Đèn led RGB 16.8 triệu màu.
