code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
MBAS566,"Mainboard ASUS ROG STRIX Z490-G GAMING (Intel Z490, Socket 1200, m-ATX, 4 khe RAM DDR4)",24 tháng,0,7079000,Categories/img/Main/250_52350_rog_strix_z490_g_gaming_01_01.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  2 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: 1 x HDMI, 1 x DisplayPort."
MBAS567,"Mainboard ASUS ROG STRIX Z490-I GAMING (Intel Z490, Socket 1200, Mini ITX, 2 khe RAM DDR4)",24 tháng,7999000,7299000,Categories/img/Main/250_52351_rog_strix_z490_i_gaming_01_01.jpg,"- Chuẩn mainboard: Mini ITX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 2 khe DDR4, tối đa 64GB.- Lưu trữ:  2 x M.2 NVMe, 4 x SATA 3 6Gb/s.- Cổng xuất hình: 1 x HDMI, 1 x DisplayPort."
MBAS573,"Mainboard ASUS ProArt Z490-CREATOR 10G (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",24 tháng,0,8899000,Categories/img/Main/250_52357_proart_z490_creator_10g_01.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  2 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: 1 x HDMI, 1 x DP."
MBAS561,"Mainboard ASUS ROG STRIX Z490-E GAMING (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",24 tháng,8199000,7199000,Categories/img/Main/250_52345_rog_strix_z490_e_gaming_01_01.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  2 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: 1 x HDMI, 1 x DisplayPort."
MBAS560,"Mainboard ASUS ROG MAXIMUS XII APEX (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",24 tháng,11199000,10899000,Categories/img/Main/250_52344_rog_maximus_xii_apex_01.jpg,"- Chuẩn mainboard: E-ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 2 khe DDR4, tối đa 64GB.- Lưu trữ:  3 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: Không."
MBAS562,"Mainboard ASUS ROG STRIX Z490-F GAMING (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",24 tháng,7199000,6299000,Categories/img/Main/250_52346_rog_strix_z490_f_01_02.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  2 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: 1 x HDMI, 1 x DisplayPort."
MBAS558 ,"Mainboard ASUS ROG MAXIMUS XII FORMULA (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",36 tháng,0,0,Categories/img/Main/250_52342_rog_maximus_xii_formula_01.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  3 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: Không."
MBAS557,"Mainboard ASUS ROG MAXIMUS XII EXTREME (Intel Z490, Socket 1200, E-ATX, 4 khe RAM DDR4)",24 tháng,21099000,18999000,Categories/img/Main/250_52341_rog_maximus_xii_extreme_01.jpg,"- Chuẩn mainboard: E-ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  4 x M.2 NVMe, 8 x SATA 3 6Gb/s.- Cổng xuất hình: Không."
MBAS575,"Mainboard ASUS ROG MAXIMUS XII FORMULA (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",24 tháng,0,13199000,Categories/img/Main/250_52512_rog_maximus_xii_formula_01.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200 , Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ: 1 x M.2 SATA/NVMe, 2 x M.2 NVMe, 6 x SATA 3 6Gb/s."
MBAS565,"Mainboard ASUS ROG STRIX Z490-G (WI-FI) GAMING (Intel Z490, Socket 1200, m-ATX, 4 khe RAM DDR4)",24 tháng,7399000,6099000,Categories/img/Main/250_52349_rog_strix_z490_g_gaming__wi_fi__01_01.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  2 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: 1 x HDMI, 1 x DisplayPort."
MBAS563,"Mainboard ASUS ROG STRIX Z490-A GAMING (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",24 tháng,6699000,6299000,Categories/img/Main/250_52347_rog_strix_z490_a_gaming_001.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  2 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: 1 x HDMI, 1 x DisplayPort."
MBAS564,"Mainboard ASUS ROG STRIX Z490-H GAMING (Intel Z490, Socket 1200, ATX, 4 khe RAM DDR4)",24 tháng,0,6399000,Categories/img/Main/250_52348_rog_strix_z490_h_01_01.jpg,"- Chuẩn mainboard: ATX.- Socket: 1200, Chipset: Z490.- Hỗ trợ RAM: 4 khe DDR4, tối đa 128GB.- Lưu trữ:  2 x M.2 NVMe, 6 x SATA 3 6Gb/s.- Cổng xuất hình: 1 x HDMI, 1 x DisplayPort."
MBAS535,"Mainboard ASUS ROG STRIX X570-E GAMING (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",24 tháng,0,9349000,Categories/img/Main/250_47571_rog_strix_x570_e_gaming_aura_sync_01.png,- Kích thước: ATX.- Socket: AM4.- Chipset: X570.- Khe RAM tối đa: 4.- Loại RAM hỗ trợ: DDR4.
MBAS534,"Mainboard ASUS ROG X570 CROSSHAIR VIII HERO (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",24 tháng,0,11399000,Categories/img/Main/250_47570_rog_crosshair_viii_hero_aura_sync_01.png,"- Ổ cắm AMD AM4: Hỗ trợ các bộ xử lý AMD Ryzen™ thế hệ thứ 2 và thứ 3 và tới hai ổ M.2, USB 3.2 Gen2 và AMD StoreMI để tối tối đa khả năng kết nối và tốc độ..- Thiết kế tản nhiệt toàn diện: Quạt tản nhiệt chipset chủ động, quạt tản nhiệt M.2 bằng nhôm và khu vực làm mát ROG..- Bộ nguồn ổn định: Thiết kế bộ nguồn với 14+2 pha cấp điện IR3555 PowIRstages, ProCool II, cuộn cảm lõi sắt từ và tụ điện kim loại đen 10K do Nhật Bản sản xuất..- Mạng hiệu suất cao: Wi-Fi 6 tích hợp (802.11ax) hỗ trợ MU-MIMO, 2.5 Gbps Ethernet và Gigabit Ethernet, cả hai đều được trang bị công nghệ bảo vệ ASUS LANGuard và hỗ trợ phần mềm GameFirst V..- Tối ưu 5 Chiều: Hiệu chỉnh tự động toàn hệ thống, cung cấp các hồ sơ ép xung và làm mát được tùy chỉnh cho hệ thống của bạn.."
MBAS533,"Mainboard ASUS ROG X570 CROSSHAIR VIII HERO Wifi (AMD X570, Socket AM4, ATX, 4 khe RAM DDR4)",24 tháng,0,11899000,Categories/img/Main/250_47569_rog_crosshair_viii_hero__wi_fi__aura_sync_01.png,"- Mainboard Asus Rog Crosshair VIII Hero (WI-FI).- Chuẩn mainboard: ATX.- Socket: AM4 , Chipset: X570.- Hỗ trợ RAM: DDR4 , tối đa 64GB.- Cổng cắm lưu trữ: 1 x M.2 NVMe; 1 x M.2 SATA/NVMe; 6 x SATA 3 6Gb/s."
