code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
MOAS171,Màn hình Asus VA24DQLB (23.8inch/FHD/IPS/75Hz/250nits/HDMI+DP+DSub),36 tháng (Adapter bảo hành 12 tháng),4279000,3689000,Categories/img/Monitor/250_54655_vg24dqlb__9_.png,- No information
MOHP083,Màn hình HP 19KA (18.5 inch/HD/LED/VGA/60Hz/5ms),24 tháng,1699000,1649000,Categories/img/Monitor/250_32831_19ka_led.jpg,- Kiểu màn hình LCD.- Độ phân giải tối đa (pixels) 1366 x 768 pixels.- Độ sáng màn hình 200 cd/m2.- Độ tương phản	600:1 static 6000000:1 dynamic.- Thời gian đáp ứng	7ms.
MOVI079,Màn Hình Viewsonic VA2261-2 (21.5/FHD/TN/250cd/m²/VGA/60Hz/5ms),24 tháng,2369000,1979000,Categories/img/Monitor/250_36975_viewsonic_va2261__4_.png,"- Kích Thước Màn Hình	22” (21.5” Viewable) TN Type, a-si TFT Active Matrix LCD.- Độ Sáng Màn Hình	200 cd/㎡.- Tỉ Lệ Tương Phản Động MEGA	600:1 (Typ).- Độ Phân Giải Màn Hình	1920x1080.- Thời Gian Đáp Ứng	20,000 Hrs (Min)."
MOHP131,Màn hình HP EliteDisplay E233 (23 inch/FHD/LED/IPS/250cd/m²/VGA+HDMI+DP/60Hz/5ms),24 tháng,3999000,3499000,Categories/img/Monitor/250_50942_hp_elitedisplay_e233__4_.png,- Độ phân giải	1920 x 1080.- Tần số quét	60 Hz.- Góc nhìn	178° (H) / 178° (V).- Màu màn hình	16.7 triệu.- Độ sáng	250 cd/m2.
MOVI082,Màn hình Viewsonic VX2039-SA (19.5 inch/HD/LED/IPS/250cd/m²/VGA/60Hz/5ms),24 tháng,0,1719000,Categories/img/Monitor/250_40634_viewsonic_vx2039__4_.png,- Tên Hãng	Viewsonic.- Model	VX2039-sa.- Kiểu màn hình	Màn hình rộng.- Kích thước màn hình	19.5Inch IPS.- Độ sáng	250cd/m2.
MOAS122,Màn hình Asus VG258Q (25 inch/FHD/144Hz/1ms/400cd/m²/G-SYNC/Compatible/FreeSync),24 tháng,7399000,6489000,Categories/img/Monitor/250_43080_asus_vg258q__4_.png,- Kích Thước Màn Hình	24.5”.- Độ Sáng Màn Hình	400 cd/㎡.- Tỉ Lệ Tương Phản Động MEGA	100000000:1.- Độ Phân Giải Màn Hình	1920x1080.- Thời Gian Đáp Ứng	1ms.
MODE145,Màn hình Dell P2319H (23 inch/FHD/LED/IPS/DP+HDMI+VGA/250cd/m²/60Hz/5ms) ,24 tháng,3849000,3649000,Categories/img/Monitor/250_43805_dell_p2319h__4_.png,- Kích thước màn hình	23 inch .- Độ phân giải	Full HD (1920x1080).- Tỉ lệ	16:9.- Tấm nền màn hình	IPS.- Độ sáng	250 cd / m².
MOAS126,Màn hình Asus VP278QG (27 inch/FHD/1ms/FreeSync),36 tháng (Adapter bảo hành 12 tháng),0,5599000,Categories/img/Monitor/250_44791_asus_vp278qg__4_.png,- Kích Thước Màn Hình	27 INCH.- Độ Sáng Màn Hình	300 cd/m² .- Tỉ Lệ Tương Phản Động MEGA	Tỷ lệ Tương phản (Tối đa) :1200 :1   .- Độ Phân Giải Màn Hình	1920*1080 .- Thời Gian Đáp Ứng	1ms.
MODE152,Màn hình Dell P2418D (23.8 inch/2K/IPS/DP+HDMI/250cd/m²/60Hz/8ms),24 tháng,0,5199000,Categories/img/Monitor/250_45419_mode152__4_.png,- Kích thước màn hình: 24 inch.- Độ phân giải: 2K (2560 x 1440).- Tỷ lệ màn hình: 16:9.- Tấm nền: IPS.- Độ tương phản: 1000:1.
MOHP126,Màn hình HP N220H (21.5 inch/FHD/LED/IPS/250cd/m²/HDMI+VGA/60Hz/5ms),24 tháng,2999000,2699000,Categories/img/Monitor/250_47728_hp_n220h__4_.png,- Kích thước màn hình: 21.5 inch.- Độ phân giải: 1920 x 1080.- Tỷ lệ màn hình: 16:9.- Công nghệ tấm nền: IPS.- Màn hiển thị màu: 16.7 triệu màu.
