code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
MEAS055,Chuột Chơi game Asus ROG Gladius II Core (P507) (USB/RGB/Black),24 tháng,1299000,1089000,Categories/img/Mouse/250_53593_asus_rog_gladius_ii_core__p507_.jpg,"- Chuột Chơi game Asus ROG Gladius II Core.- Thiết kế công thái học cổ điển quen thuộc của dòng chuột Gladius.- Thiết kế gọn nhẹ, các nút trái, phải riêng biệt, 2 bên hông được khắc rãnh chống trượt mang phong cách ROG.- Mắt cảm biến PAW3327, độ phân giải 6200 DPI tracking nhanh và chính xác.- Thiết kế thay nóng switch bấm độc quyền ROG, tăng độ bền và tuổi thọ của chuột."
MEAS057,Chuột Asus ROG Gladius II Pink (USB/Màu hồng),24 tháng,2499000,2289000,Categories/img/Mouse/250_54460_rog_gladius_ii_origin_pnk_ltd_3d_5.png,"- Chuột Asus ROG Gladius II Pink.- Phiên bản màu hồng cực cá tính.- Cảm biến quang học PixArt PMW3360 cho độ chính xác cao  .- 12000 DPI, gia tốc 50G và 250 IPS.- Switch Omron với độ bền 50 triệu lần nhấn, đồng thời có thể thay nóng với thiết kế độc quyền của Asus."
MEFU044,Chuột Fuhlen A37GS Optical Wireless,24 tháng,0,279000,Categories/img/Mouse/250_33713_mouse_fuhlen_a37gs_optical_wireless.jpg,- No information
MELJ002,Mouse Lanjun wireless WM1123,24 tháng,0,129000,Categories/img/Mouse/250_34899_wm1312.jpg,- No information
MELO109,Chuột không dây Logitech MX Master 2S Wireless Black,24 tháng,0,1699000,Categories/img/Mouse/250_38531_tong_the_mouse_logitech_mx_master_2s_wireless.jpg,- Chuột không dây Logitech MX Master 2S Wireless Black.- Độ phân giải: 4000 DPI.- 7 nút thao tác và 1 cần gạt on/off.- Kết nối thông qua cổng USB hoặc công nghệ Bluetooth.- Khoảng cách tối đa 10m.
MENE067,Chuột Newmen F266 Wireless Black,24 tháng,149000,119000,Categories/img/Mouse/250_43700_mouse_newmen_f266_wireless_black_1.jpg,- No information
MENE085,Chuột Newmen G7Plus Gaming Black/Blue Led USB,24 tháng,249000,219000,Categories/img/Mouse/250_49108_chuot_newmen_g7plus_gaming_black_blue_led_usb.png,"- Chuột Newmen G7Plus.- Độ phân giải : 800-1200-1600CPI.- Tuổi thọ nút : 5 triệu lần nhấn.- Cảm biến Pixart giúp sử dụng chuột trên nhiều bề mặt khác nhau.- Dây cáp bọc dù chống nhiễu, đầu USB mạ vàng cao cấp."
MENE081,Chuột không dây Newmen D358 Blue Navy Wireless/ Bluetooth,24 tháng,399000,369000,Categories/img/Mouse/250_49104_chuot_khong_day_newmen_d358_blue_navy_wireless_bluetooth_1.jpg,- Chuột không dây Newmen D358.- Độ phân giải :  800/1200/1600 DPI.- Kết nối 2 chế độ Wireless 2.4Ghz và Bluetooth 4.0 vô cùng tiện lợi .- Khoảng cách truyền tín hiệu lên tới 10m.- Phù hợp cho tác vụ văn phòng cần di chuyển nhiều.
MEZO028,Chuột chơi game Zowie BenQ S1 Optical E-Sport Gaming,24 tháng,0,1999000,Categories/img/Mouse/250_49957_chuot_zowie_benq_s1_optical_e_sport_gaming_0000_1.jpg,- Chuột Zowie S1 Optical E-Sport Gaming.- Nằm trong series S mới của Zowie.- Thiết kế đối xứng với chiều dài ngắn hơn dòng FK và ZA.- Mắt cảm biến PMW3360 cho độ chính xác cao và ổn định.- Thiết kế phần cứng plug and play không cần dùng driver.
MELJ009,Chuột game Lanjun M1344 Plus Virgorous (USB/RTT3168/Led/Đen),24 tháng,279000,219000,Categories/img/Mouse/250_54435_chuot_choi_game_lanjun_m1344_usb_rtt3168_led_den_0001_2.jpg,- Chuột chơi game Lanjun M1344 Plus Virgorous.- Kết nối: Có dây.- Kiểu dáng: Ambidextrous (Đối xứng hai bên).- Đèn led: Có.
MELO140,Chuột chơi game Logitech G403 Hero (USB/RGB/Đen),24 tháng,0,989000,Categories/img/Mouse/250_48075_mouse_logitech_g403_hero_gaming_001.jpg,- CHuột Logitech G403 Hero.- Phiên bản nâng cấp của chú chuột Logitech G403 nổi tiếng.- Mắt cảm biến Hero 16k cao cấp cho hiệu năng vượt trội.- Độ phân giải : 16000 DPI.- Tính năng Lightsync RGB cho phép đồng bộ led với các thiết bị Logitech khác.
MECS030,Chuột chơi game Corsair Harpoon RGB PRO (CH-9301111AP),24 tháng,699000,499000,Categories/img/Mouse/250_48439_chuot_corsair_harpoon_rgb_pro_ch_9301111ap_0002_1.jpg,- Chuột chơi game Corsair Harpoon RGB PRO.- Kiểu dáng thể thao với hình dạng đường viền thoải mái.- Trọng lượng nhẹ chỉ 85g.- Cảm biến quang học 12.000 DPI.- Độ bền lâu dài với các công tắc Omron hiệu suất cao được đánh giá cho hơn 20 triệu lần nhấn.
MEAT003,Chuột chơi game A4Tech N-360-1,24 tháng,169000,119000,Categories/img/Mouse/250_46848_mouse_vtrack_usb_xam_a4tech_n_360_1.jpg,- Chuột A4Tech N-360-1.- Độ phân giải 1000 DPI.- Kết nối USB tiện lợi.- Thiết kế phù hợp cho tác vụ nhẹ và văn phòng.
MERZ097,Chuột Razer DeathAdder V2 RGB Gaming Mouse Black (RZ01-03210100-R3M1),24 tháng,0,1689000,Categories/img/Mouse/250_51576_chuot_razer_deathadder_v2_rgb_gaming_mouse_black_rz01_03210100_r3m1_0003_1.jpg,- Chuột chơi game chuyên dụng từ Razer.- Phiên bản V2 với nhiều cải tiến và nâng cấp.- Mắt đọc Razer Optical Focus+ 20000DPI 650IPS tracking.- Switch Razer Optical độ bền 70 triệu click.- Dây cáp bọc sợi Speedflex mềm mại.
MEAS053,Chuột Asus ROG Pugio (P503),24 tháng,1989000,1709000,Categories/img/Mouse/250_52943_rog_pugio_2d_1_aura_sync_rgb.PNG,"- Chuột Asus ROG Pugio.- Chuột chơi game thật sự kết hợp với các nút bên cạnh có thể định cấu hình.- Độc quyền đẩy-fit chuyển đổi thiết kế ổ cắm để dễ dàng thay đổi kích cỡ và kéo dài tuổi thọ của con chuột.- Tính thẩm mỹ mạnh mẽ với ánh sáng Aura RGB của Asus và hỗ trợ Aura Sync, các tấm bên ngoài bằng cao su của Mayan và các bản khắc dưới đáy..- Các thiết bị chuyển mạch Omron bền vững trị giá 50 triệu đô la, với hai thiết bị chuyển mạch Omron Nhật Bản tạo ra cảm giác bấm khác."
MEMC018,Chuột chơi game Madcatz Authentic R.A.T 4+,24 tháng,2089000,1799000,Categories/img/Mouse/250_53765_chuot_choi_game_madcatz_authentic_rat_4_0003_4.jpg,- No information
MERZ101,Chuột không dây Razer Naga Pro Wireless (USB/RGB) (RZ01-03420100-R3A1),24 tháng,4389000,3989000,Categories/img/Mouse/250_56248_chuot_khong_day_razer_naga_pro_wireless_usb_rgb_rz01_03420100_r3a1_0003_4.jpg,- Chuột không dây Razer Naga Pro .- Phiên bản nâng cấp của Razer Naga nổi tiếng.- 3 chế độ kết nối tiện lợi : HyperSpeed Wireless / Bluetooth / Dây cáp USB.- 19+1 nút phụ có thể lập trình .- 3 mặt hông thay thế để phù hợp cho các tác vụ chơi game khác nhau.
MELO049,Chuột Logitech B100 Black,24 tháng,119000,99000,Categories/img/Mouse/250_3744_4872_522ce00c5acc3b5b8ec5c3dd81498fa4.jpg,- Logitech B100/ Chuột quang/ độ phân giải 800dpi/ Kết nối USB /Thiết kế đẹp.
MEEB066,Chuột chơi game Eblue Cobra II EMS151BL Optical USB Blue,24 tháng,219000,199000,Categories/img/Mouse/250_16268_mouse_eblue_cobra_ii_ems151bl_optical_usb_blue.jpg,"- ""E-BLUE™ - Cobra II: EMS151.- Giao diện: USB 2.0; độ phân giải: 400/800/1600 DPI; .- IC Chipset： OI 3509.- Frame Rate： 4000 Frame/sec.- Kích thước: 126 * 63 * 40mm; Nặng: 130g±5g."
MEZO016,Chuột chơi game Zowie BenQ FK2 Optical USB - Gaming,24 tháng,1679000,1499000,Categories/img/Mouse/250_29298_mouse_zowie_fk2_optical_usb_gaming_0000_1.jpg,"- Thiết kế đối xứng hai bên, hợp với kiểu cầm chuột Claw Grip.- 2 nút phụ ở cả 2 hông chuột, phù hợp với cả người dùng thuận tay trái và tay phải.- Mắt cảm biến Pixart PMW 3310 lừng danh với gia tốc = 0. Cho những pha xử lý chính xác tuyệt đối.- Không cần driver, chỉ cần cắm chuột và sử dụng.- Dễ dàng đổi chế độ sử dụng tay trái và tay phải."
MENE053,Chuột Newmen GX1-Plus Optical USB Black,24 tháng,399000,359000,Categories/img/Mouse/250_35248_mouse_newmen_gx1_plus_optical_usb_black_1.jpg,- Chuột GX1-Plus.- Mắt cảm biến Avago 3050.- Độ phân giải : 4000 DPI.- Nút bấm với độ bền 20 triệu lượt nhấn.- Thiết kế đối xứng phù hợp cả tay trái và tay phải.
MELO111,Chuột chơi game Logitech G603 Prodigy Lightspeed Wireless Gaming Black,24 tháng,1599000,1399000,Categories/img/Mouse/250_38532_tong_the_mouse_logitech_g603_lightspeed_wireless_gaming.jpg,"- Chuột chơi game không day Logitech : G603 LightSpeed.- Mắt cảm biến Hero, tiết kiệm năng lượng gấp 10 lần so với mắt đọc thông thường.- DPI : 12000DPI.- Kết nối bằng 2 phương thức khác nhau : Lightspeed hoặc BLuetooth.- Tuổi thọ pin lên đến 500 giờ sử dụng."
MEFU054,Chuột Fuhlen M70 Optical Wireless Đen,24 tháng,0,139000,Categories/img/Mouse/250_44749_mouse_fuhlen_m70_optical_wireless_den_0000_1.jpg,"- Chuột Fuhlen M70 Wireless.- Độ phân giải : 1000 DPI.- Đầu tiếp nhận mini receiver, công nghệ Nano 2.4Ghz.- Khoảng cách hoạt động lên đến 10m.- Công nghệ tiết kiệm pin cho thời gian sử dung lên đến 12 tháng."
MENE083,Chuột Newmen M201 White USB,24 tháng,0,149000,Categories/img/Mouse/250_49106_chuot_newmen_m201_white_usb_1.jpg,- Chuột Newmen M201.- Độ phân giải : 1200 DPI.- Kết nối dây USB thuận tiện.- Phù hợp cho tác vụ nhẹ và văn phòng.
MEMI088,Chuột không dây Microsoft 1850 Wireless (Xanh Đen) - U7Z-00015,24 tháng,349000,349000,Categories/img/Mouse/250_48864_chuot_khong_day_microsoft_1850_wireless_xanh_den_u7z_00015_1.jpg,- Chuột Microsoft 1850 Wireless.- Độ phân giải : 1000 DPI.- Thiết kế nhỏ gọn phù hợp cho việc di chuyển.- Kết nối không day tiện lợi.- Tuổi thọ pin tối đa lên đến 6 tháng.
MEZO029,Chuột chơi game Zowie BenQ S2 Optical E-Sport Gaming,24 tháng,0,1999000,Categories/img/Mouse/250_49958_chuot_zowie_benq_s2_optical_e_sport_gaming_0001_1.jpg,- Chuột Zowie S2 Optical E-Sport Gaming .- Nằm trong series S mới của Zowie.- Thiết kế đối xứng với chiều dài ngắn hơn dòng FK và ZA.- Mắt cảm biến PMW3360 cho độ chính xác cao và ổn định.- Thiết kế phần cứng plug and play không cần dùng driver.
MEAK013,Chuột AKKO AG325 Dragon Ball Super-GOKU SSG,24 tháng,949000,699000,Categories/img/Mouse/250_54566_chuot_akko_ag325_dragon_ball_super_goku_ssg_0000_1.jpg,"- Chuột AKKO AG325 Dragon Ball Super-GOKU SSG.- Thiết kế đối xứng.- Mắt đọc PWM3325.- Giao tiếp USB, dây cáp dài 1,8m.- Vỏ nhựa ABS."
MEAK003,Chuột chơi game AKKO AG325 Tiffany Blue,24 tháng,0,499000,Categories/img/Mouse/250_51874_thiet_ke_chuot_choi_game_akko_ag325_tiffany_blue.jpg,"- Chuột chơi game AKKO AG325 Tiffany Blue.- Thiết kế đối xứng.- Mắt đọc PWM3325.- Giao tiếp USB, dây cáp dài 1,8m.- Vỏ nhựa ABS."
MECS031,Chuột chơi game Corsair M55 RGB Pro Black (CH-9308011-AP),24 tháng,899000,799000,Categories/img/Mouse/250_48440_chuot_corsair_m55_rgb_pro_paw3327_0005_1.jpg,- Chuột Corsair M55 RGB Pro.- Mắt cảm biến PMW3327.- Độ phân giải : 12400 DPI.- Thiết kế đối xứng phù hợp phù hợp với nhiều kích thước bàn tay.- Led RGB 16.8 triệu màu.
MEAT002,Chuột chơi game A4Tech N-300,24 tháng,149000,89000,Categories/img/Mouse/250_46847_mouse_vtrack_usb_den_a4tech_n_300.jpg,- Chuột A4Tech N-300.- Thiết kế đối xứng.- Độ phân giải DPI lên đến 1000 DPI.- Kết nối USB.- Thiết kế phù hợp cho tác vụ văn phòng.
