code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
HDSA089,Ổ cứng SSD Samsung 860 EVO 250GB 2.5 inch SATA3 (Đọc 550MB/s - Ghi 520MB/s),24 tháng,0,1459000,Categories/img/Ssd/250_41502_____c___ng_ssd_samsung_860_evo_250gb_2_5_inch_sata3.jpg,- Loại SSD: Giao tiếp Sata III.- Kích thước: 2.5 inch.- Dung lượng: 250GB.- Tốc độ đọc: 550MBps.- Tốc độ ghi: 520MBps.
HDPT049,Ổ cứng SSD Plextor PX 256M8VC 256GB 2.5 inch SATA3 (Đọc 560MB/s - Ghi 510MB/s),24 tháng,1299000,999000,Categories/img/Ssd/250_45363_____c___ng_ssd_plextor_px_128m8vc_128gb.jpg,- Tốc độ đọc: 560MB/s.- Tốc độ ghi: 520MB/s.- Chương trình cơ sở PlexNitro độc quyền tối ưu hóa hiệu suất trong chế độ SLC mà không chiếm dung lượng SSD.- Mã hóa toàn bộ ổ đĩa AES 256-bit dựa trên phần cứng đảm bảo bảo mật dữ liệu cao.- Công nghệ LDPC mới nhất đảm bảo độ chính xác của dữ liệu & độ tin cậy của SSD.
HDSA091,Ổ cứng SSD Samsung 860 EVO 1TB 2.5 inch SATA3 (Đọc 550MB/s - Ghi 520MB/s),24 tháng,4699000,4199000,Categories/img/Ssd/250_41257_____c___ng_ssd_samsung_860_evo_1tb_2_5_inch_sata3.jpg,- Ổ cứng SSD cần được định dạng trước khi sử dụngLoại SSD: Giao tiếp Sata III.- Kích thước: 2.5 inch.- Dung lượng: 1TB.- Tốc độ đọc: 550MBps.- Tốc độ ghi: 520MBps.
HDKT060,Ổ cứng SSD Kingston A2000M8 500GB M.2 2280 PCIe NVMe Gen 3x4 (Đọc 2200MB/s - Ghi 1500MB/s) - (SA2000M8/500G),24 tháng,2399000,1899000,Categories/img/Ssd/250_48302_ssd_kingston_a2000m8_500gb_m_2_2280_pcie_nvme.jpg,- Dung lượng: 500Gb.- Tốc độ đọc: 2200MB/s.- Tốc độ ghi: 1000MB/s.- Chuẩn giao tiếp: M2 NVMe.
HDKT074,Ổ cứng SSD Kingston A400 480GB M.2 2280 (Đọc 500MB/s - Ghi 450MB/s) - (SA400M8/480G),24 tháng,1499000,1499000,Categories/img/Ssd/250_55181_o_cung_ssd_kingston_a400_480gb_sa400m8_480g_1.jpg,- Chuẩn SSD: M.2 Sata.- Kết nối M.2.- .- Tốc độ đọc tối đa 500 MB/s.- .
HDKT067,Ổ cứng SSD Kingston KC600 256GB 2.5 inch SATA3 (Đọc 550MB/s - Ghi 500MB/s) - (KC600/256GB) ,24 tháng,1399000,1099000,Categories/img/Ssd/250_49898_____c___ng_ssd_kingston_skc600_256gb_2_5_inch_sata3_.jpg,"- Dung lượng: 256GB.- Kích thước: 2.5"".- Kết nối: SATA 3.- NAND: 3D-NAND.- Tốc độ đọc/ghi (tối đa): 550MB/s | 500MB/s."
HDKT039,Ổ cứng SSD Kingston A400 120GB 2.5 inch SATA3 (Đọc 500MB/s - Ghi 320MB/s) - (SA400S37/120G),24 tháng,799000,589000,Categories/img/Ssd/250_38001_____c___ng_ssd_kingston_a400_120gb_2_5_inch_sata3.jpg,"- Dung lượng: 120GB.- Kích thước: 2.5"".- Kết nối: SATA 3.- Tốc độ đọc / ghi (tối đa): 500MB/s / 320MB/s."
HDSA095,Ổ cứng SSD Samsung 860 EVO 250GB M.2 2280 (Đọc 540MB/s - Ghi 520MB/s),24 tháng,1699000,1559000,Categories/img/Ssd/250_41261_ssd_samsung_860_evo_250gb_m_2_2280.jpg,- Loại SSD: Giao tiếp Sata III.- Kích thước: M.2 2280.- Dung lượng: 250GB.- Tốc độ đọc: 550MBps.- Tốc độ ghi: 520MBps.
HDKF008,Ổ cứng SSD KINGFAST F6M.2 128GB M.2 2280 (Đọc 550MB/s - Ghi 450MB/s),24 tháng,699000,599000,Categories/img/Ssd/250_47521_____c___ng_ssd_kingfast_f6m_2_128gb_m_2_2280.jpg,"- Dung lượng: 128GB.- Tốc độ đọc/ghi lý tưởng: 550MB/s 450MB/s.- Hiệu suất mạnh mẽ.- Toàn vẹn dữ liệu, bảo mật và độ ổn định.- Bảo hành 3 năm tại HANOICOMPUTER."
HDKT061,Ổ cứng SD Kingston A2000M8 1TB M.2 2280 PCIe NVMe Gen 3x4 (Đọc 2200MB/s - Ghi 1900MB/s) - (SA2000M8/1000G),24 tháng,0,3099000,Categories/img/Ssd/250_48303_ssd_kingston_a2000m8_1tb_m_2_2280_pcie_nvme.jpg,- Dung lượng: 1TB.- Tốc độ đọc: 2200MB/s.- Tốc độ ghi: 1000MB/s.- Chuẩn giao tiếp: M2 NVMe.
HDAP006,Ổ cứng SSD Apacer AS340 120GB SATA3 2.5 inch (Đọc 550Mb/s - Ghi 500Mb/s) - (AP120GAS340G-1),24 tháng,699000,569000,Categories/img/Ssd/250_51651_22746_ssd_apacer_as340_120gb_1.jpg,- Dung lượng: 120GG.- Tốc độ đọc: 550Mb/s.- Tốc độ ghi: 500Mb/s.- Chuẩn giao tiếp: SATA3.- Kích thước: 2.5Inch.
