code,name,bao_hanh,base_price,slase_price,img_directory,infor_product
VGAS549,"Card màn hình Asus TUF RTX3090-O24G-GAMING (24GB GDD6X, 384-bit, HDMI +DP, 2x8-Pin)",24 tháng,0,50790000,Categories/img/Vga/250_55637_card_man_hinh_asus_tuf_rtx3090_o24g_gaming_24gb_gdd6x_384_bit_hdmi_dp_2x8_pin_001.jpg,"- Dung lượng bộ nhớ: 24Gb GDDR6X.- 10496 CUDA Cores.- Core Clock: 1770 MHz (Chế độ OC).- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 750W."
VGAS550,"Card màn hình Asus ROG STRIX RTX3090-O24G-GAMING (24GB GDD6X, 384-bit, HDMI +DP, 3x8-pin)",24 tháng,0,55899000,Categories/img/Vga/250_55690_card_man_hinh_asus_rog_strix_rtx3090_o24g_gaming_001.jpg,"- Dung lượng bộ nhớ: 24Gb GDDR6X.- 10496 CUDA Cores.- Core Clock: 1890 MHz (Boost Clock).- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 850W."
VGAS540,"Card màn hình Asus TUF RTX3090-24G-GAMING (24GB GDD6X, 384-bit, HDMI +DP, 3x8-Pin)",24 tháng,0,42799000,Categories/img/Vga/250_55067_card_man_hinh_asus_tuf_rtx3090_24g_gaming_24gb_gdd6x_384_bit_hdmi_dp_3x8_pin_001.jpg,"- Dung lượng bộ nhớ: 24Gb GDDR6X.- 10496 CUDA Cores.- Core Clock:.- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 750W."
VGAS539,"Card màn hình Asus ROG-STRIX-RTX3090-24G-GAMING (24GB GDD6X, 384-bit, HDMI +DP, 3x8-pin)",24 tháng,0,53790000,Categories/img/Vga/250_55066_card_man_hinh_asus_rog_strix_rtx3090_24g_gaming_24gb_gdd6x_384_bit_hdmi_dp_3x8_pin_001.jpg,"- Dung lượng bộ nhớ: 24Gb GDDR6X.- 10496 CUDA Cores.- Core Clock: 1725 MHz (Boost Clock).- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 850W."
VGAS546,"Card màn hình Asus TUF RTX3080-O10G-GAMING (10GB GDD6X, 320-bit, HDMI +DP, 2x8-pin)",24 tháng,0,24499000,Categories/img/Vga/250_55437_card_man_hinh_asus_tuf_rtx3080_o10g_gaming_001.jpg,"- Dung lượng bộ nhớ: 10Gb GDDR6X.- 8704 CUDA Cores.- Core Clock: TBD.- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 750W."
VGAS542,"Card màn hình Asus TUF-RTX3080-10G-GAMING (10GB GDDR6X, 320-bit, HDMI +DP, 2x8-pin)",24 tháng,0,22999000,Categories/img/Vga/250_55069_tuf_rtx3080_10g_gaming_01.jpg,"- Dung lượng bộ nhớ: 10Gb GDDR6X.- 8704 CUDA Cores.- Core Clock:1740Mhz (OC chế độ OC) .- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 750W."
VGAS547,"Card màn hình Asus ROG STRIX RTX3080-010G-GAMING (10GB GDDR6X, 320-bit, HDMI +DP, 3x8-pin)",24 tháng,0,27900000,Categories/img/Vga/250_55477_card_man_hinh_asus_rog_strix_rtx3080_010g_gaming_001.jpg,"- Dung lượng bộ nhớ: 10Gb GDDR6X.- 8704 CUDA Cores.- Core Clock:.- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 750W."
VGAS541,"Card màn hình Asus ROG-STRIX-RTX3080-10G-GAMING (10GB GDDR6X, 320-bit, HDMI +DP, 3x8-pin)",24 tháng,0,26499000,Categories/img/Vga/250_55068_card_man_hinh_asus_rog_strix_rtx3080_10g_gaming_10gb_gddr6x_320_bit_hdmi_dp_3x8_pin_001.jpg,"- Dung lượng bộ nhớ: 10Gb GDDR6X.- 8704 CUDA Cores.- Core Clock:.- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 750W."
VGAS545,"Card màn hình Asus DUAL RTX3070-8G (8GB GDD6, 256-bit, HDMI +DP, 2x8-pin)",24 tháng,0,15899000,Categories/img/Vga/250_55236_card_man_hinh_asus_dual_rtx3070_8g_8gb_gdd6_256_bit_hdmi_dp_2x8_pin_001.jpg,"- Dung lượng bộ nhớ: 8Gb GDDR6.- 5888 CUDA Cores.- Core Clock: .- Kết nối: DisplayPort 1.4a, HDMI 2.1.- Nguồn yêu cầu: 650W."
VGAS556,"Card màn hình Asus ROG STRIX RTX3070-O8G-GAMING (8GB GDD6, 256-bit, HDMI +DP, 2x8-pin)",24 tháng,0,20699000,Categories/img/Vga/250_56115_01_rog_strix_rtx3070_o8g_gaming.jpg,- Phiên bản RTX 3070 cao cấp nhất của Asus.- Xung nhịp tối đa: .- Số lõi Cuda: 5888.- Bộ nhớ 8GB DDR6.
